"depth.layer"	"Time.foraging"	"state"	"param"
800	16600.4535041421	"rest"	"mean"
800	14006.0605824721	"preg"	"min"
800	15953.9233124848	"preg"	"max"
800	14979.9919474784	"preg"	"mean"
800	14006.0605824721	"lact"	"min"
800	15953.9233124848	"lact"	"max"
800	14979.9919474784	"lact"	"mean"
810	15395.2667556976	"rest"	"min"
810	17536.3303442383	"rest"	"max"
810	16465.7985499679	"rest"	"mean"
810	13892.4501051787	"preg"	"min"
810	15824.5127025876	"preg"	"max"
810	14858.4814038831	"preg"	"mean"
810	13892.4501051787	"lact"	"min"
810	15824.5127025876	"lact"	"max"
810	14858.4814038831	"lact"	"mean"
820	15271.3925098479	"rest"	"min"
820	17395.2285542638	"rest"	"max"
820	16333.3105320558	"rest"	"mean"
820	13780.6679056824	"preg"	"min"
820	15697.1846342872	"preg"	"max"
820	14738.9262699848	"preg"	"mean"
820	13780.6679056824	"lact"	"min"
820	15697.1846342872	"lact"	"max"
820	14738.9262699848	"lact"	"mean"
830	15149.4957998403	"rest"	"min"
830	17256.3793216724	"rest"	"max"
830	16202.9375607563	"rest"	"mean"
830	13670.6702038797	"preg"	"min"
830	15571.8892388564	"preg"	"max"
830	14621.279721368	"preg"	"mean"
830	13670.6702038797	"lact"	"min"
830	15571.8892388564	"lact"	"max"
830	14621.279721368	"lact"	"mean"
840	15029.5296464147	"rest"	"min"
840	17119.7291336644	"rest"	"max"
840	16074.6293900395	"rest"	"mean"
840	13562.4146064144	"preg"	"min"
840	15448.578227174	"preg"	"max"
840	14505.4964167942	"preg"	"mean"
840	13562.4146064144	"lact"	"min"
840	15448.578227174	"lact"	"max"
840	14505.4964167942	"lact"	"mean"
850	14911.448546701	"rest"	"min"
850	16985.2261591562	"rest"	"max"
850	15948.3373529286	"rest"	"mean"
850	13455.8600522019	"preg"	"min"
850	15327.2048276737	"preg"	"max"
850	14391.5324399378	"preg"	"mean"
850	13455.8600522019	"lact"	"min"
850	15327.2048276737	"lact"	"max"
850	14391.5324399378	"lact"	"mean"
860	14795.2084166748	"rest"	"min"
860	16852.8201832322	"rest"	"max"
860	15824.0142999535	"rest"	"mean"
860	13350.9667605016	"preg"	"min"
860	15207.7237271939	"preg"	"max"
860	14279.3452438477	"preg"	"mean"
860	13350.9667605016	"lact"	"min"
860	15207.7237271939	"lact"	"max"
860	14279.3452438477	"lact"	"mean"
870	14680.7665362821	"rest"	"min"
870	16722.4625446392	"rest"	"max"
870	15701.6145404607	"rest"	"mean"
870	13247.6961813991	"preg"	"min"
870	15090.0910145738	"preg"	"max"
870	14168.8935979865	"preg"	"mean"
870	13247.6961813991	"lact"	"min"
870	15090.0910145738	"lact"	"max"
870	14168.8935979865	"lact"	"mean"
880	14568.0814970932	"rest"	"min"
880	16594.1060761592	"rest"	"max"
880	15581.0937866262	"rest"	"mean"
880	13146.0109485692	"preg"	"min"
880	14974.2641268471	"preg"	"max"
880	14060.1375377081	"preg"	"mean"
880	13146.0109485692	"lact"	"min"
880	14974.2641268471	"lact"	"max"
880	14060.1375377081	"lact"	"mean"
890	14457.1131523474	"rest"	"min"
890	16467.705047707	"rest"	"max"
890	15462.4091000272	"rest"	"mean"
890	13045.8748341973	"preg"	"min"
890	14860.2017978936	"preg"	"max"
890	13953.0383160454	"preg"	"mean"
890	13045.8748341973	"lact"	"min"
890	14860.2017978936	"lact"	"max"
890	13953.0383160454	"lact"	"mean"
900	14347.8225692645	"rest"	"min"
900	16343.2151120099	"rest"	"max"
900	15345.5188406372	"rest"	"mean"
900	12947.2527059458	"preg"	"min"
900	14747.8640094217	"preg"	"max"
900	13847.5583576838	"preg"	"mean"
900	12947.2527059458	"lact"	"min"
900	14747.8640094217	"lact"	"max"
900	13847.5583576838	"lact"	"mean"
910	14240.1719835024	"rest"	"min"
910	16220.5932527312	"rest"	"max"
910	15230.3826181168	"rest"	"mean"
910	12850.110485858	"preg"	"min"
910	14637.2119441561	"preg"	"max"
910	13743.661215007	"preg"	"mean"
910	12850.110485858	"lact"	"min"
910	14637.2119441561	"lact"	"max"
910	13743.661215007	"lact"	"mean"
920	14134.1247556506	"rest"	"min"
920	16099.7977349133	"rest"	"max"
920	15116.9612452819	"rest"	"mean"
920	12754.4151110975	"preg"	"min"
920	14528.2079411177	"preg"	"max"
920	13641.3115261076	"preg"	"mean"
920	12754.4151110975	"lact"	"min"
920	14528.2079411177	"lact"	"max"
920	13641.3115261076	"lact"	"mean"
930	14029.6453296523	"rest"	"min"
930	15980.7880576172	"rest"	"max"
930	15005.2166936347	"rest"	"mean"
930	12660.1344964299	"preg"	"min"
930	14420.815452887	"preg"	"max"
930	13540.4749746585	"preg"	"mean"
930	12660.1344964299	"lact"	"min"
930	14420.815452887	"lact"	"max"
930	13540.4749746585	"lact"	"mean"
940	13926.6991930576	"rest"	"min"
940	15863.5249086484	"rest"	"max"
940	14895.112050853	"rest"	"mean"
940	12567.2374983553	"preg"	"min"
940	14314.999004749	"preg"	"max"
940	13441.1182515521	"preg"	"mean"
940	12567.2374983553	"lact"	"min"
940	14314.999004749	"lact"	"max"
940	13441.1182515521	"lact"	"mean"
950	13825.2528390138	"rest"	"min"
950	15747.9701212607	"rest"	"max"
950	14786.6114801372	"rest"	"mean"
950	12475.693880809	"preg"	"min"
950	14210.7241556235	"preg"	"max"
950	13343.2090182162	"preg"	"mean"
950	12475.693880809	"lact"	"min"
950	14210.7241556235	"lact"	"max"
950	13343.2090182162	"lact"	"mean"
960	13725.2737299046	"rest"	"min"
960	15634.0866327391	"rest"	"max"
960	14679.6801813218	"rest"	"mean"
960	12385.4742823506	"preg"	"min"
960	14107.9574606908	"preg"	"max"
960	13246.7158715207	"preg"	"mean"
960	12385.4742823506	"lact"	"min"
960	14107.9574606908	"lact"	"max"
960	13246.7158715207	"lact"	"mean"
970	13626.7302625565	"rest"	"min"
970	15521.8384447664	"rest"	"max"
970	14574.2843536615	"rest"	"mean"
970	12296.550184766	"preg"	"min"
970	14006.6664356275	"preg"	"max"
970	13151.6083101967	"preg"	"mean"
970	12296.550184766	"lact"	"min"
970	14006.6664356275	"lact"	"max"
970	13151.6083101967	"lact"	"mean"
980	13529.5917349322	"rest"	"min"
980	15411.1905854856	"rest"	"max"
980	14470.3911602089	"rest"	"mean"
980	12208.8938830126	"preg"	"min"
980	13906.8195223719	"preg"	"max"
980	13057.8567026922	"preg"	"mean"
980	12208.8938830126	"lact"	"min"
980	13906.8195223719	"lact"	"max"
980	13057.8567026922	"lact"	"mean"
990	13433.8283142391	"rest"	"min"
990	15302.109073173	"rest"	"max"
990	14367.9686937061	"rest"	"mean"
990	12122.4784564408	"preg"	"min"
990	13808.3860563432	"preg"	"max"
990	12965.432256392	"preg"	"mean"
990	12122.4784564408	"lact"	"min"
990	13808.3860563432	"lact"	"max"
990	12965.432256392	"lact"	"mean"
1000	13339.4110063832	"rest"	"min"
1000	15194.5608814432	"rest"	"max"
1000	14266.9859439132	"rest"	"mean"
1000	12037.2777412296	"preg"	"min"
1000	13711.336235043	"preg"	"max"
1000	12874.3069881363	"preg"	"mean"
1000	12037.2777412296	"lact"	"min"
1000	13711.336235043	"lact"	"max"
1000	12874.3069881363	"lact"	"mean"
