"depth.layer"	"Time.foraging"	"state"	"param"
160	37094.21926796	"rest"	"max"
160	34829.7465800904	"rest"	"mean"
160	29386.3984228609	"preg"	"min"
160	33473.2485346495	"preg"	"max"
160	31429.8234787552	"preg"	"mean"
160	29386.3984228609	"lact"	"min"
160	33473.2485346495	"lact"	"max"
160	31429.8234787552	"lact"	"mean"
170	32015.9402940299	"rest"	"min"
170	36468.4882819413	"rest"	"max"
170	34242.2142879856	"rest"	"mean"
170	28890.6882981149	"preg"	"min"
170	32908.5985912302	"preg"	"max"
170	30899.6434446725	"preg"	"mean"
170	28890.6882981149	"lact"	"min"
170	32908.5985912302	"lact"	"max"
170	30899.6434446725	"lact"	"mean"
180	31484.8323324973	"rest"	"min"
180	35863.5176237718	"rest"	"max"
180	33674.1749781345	"rest"	"mean"
180	28411.4247054056	"preg"	"min"
180	32362.6824458924	"preg"	"max"
180	30387.053575649	"preg"	"mean"
180	28411.4247054056	"lact"	"min"
180	32362.6824458924	"lact"	"max"
180	30387.053575649	"lact"	"mean"
190	30971.0577810232	"rest"	"min"
190	35278.2909823576	"rest"	"max"
190	33124.6743816904	"rest"	"mean"
190	27947.8025132781	"preg"	"min"
190	31834.5829952571	"preg"	"max"
190	29891.1927542676	"preg"	"mean"
190	27947.8025132781	"lact"	"min"
190	31834.5829952571	"lact"	"max"
190	29891.1927542676	"lact"	"mean"
200	30473.7817159176	"rest"	"min"
200	34711.8573187936	"rest"	"max"
200	32592.8195173556	"rest"	"mean"
200	27499.0682995352	"preg"	"min"
200	31323.4420365567	"preg"	"max"
200	29411.2551680459	"preg"	"mean"
200	27499.0682995352	"lact"	"min"
200	31323.4420365567	"lact"	"max"
200	29411.2551680459	"lact"	"mean"
210	29992.2219887749	"rest"	"min"
210	34163.3257090681	"rest"	"max"
210	32077.7738489215	"rest"	"mean"
210	27064.5162655785	"preg"	"min"
210	30828.4556137716	"preg"	"max"
210	28946.485939675	"preg"	"mean"
210	27064.5162655785	"lact"	"min"
210	30828.4556137716	"lact"	"max"
210	28946.485939675	"lact"	"mean"
220	29525.645121455	"rest"	"min"
220	33631.8606681475	"rest"	"max"
220	31578.7528948012	"rest"	"mean"
220	26643.4845321029	"preg"	"min"
220	30348.8697981569	"preg"	"max"
220	28496.1771651299	"preg"	"mean"
220	26643.4845321029	"lact"	"min"
220	30348.8697981569	"lact"	"max"
220	28496.1771651299	"lact"	"mean"
230	29073.3625783563	"rest"	"min"
230	33116.6779038231	"rest"	"max"
230	31095.0202410897	"rest"	"mean"
230	26235.351775253	"preg"	"min"
230	29883.9768565796	"preg"	"max"
230	28059.6643159163	"preg"	"mean"
230	26235.351775253	"lact"	"min"
230	29883.9768565796	"lact"	"max"
230	28059.6643159163	"lact"	"mean"
240	28634.7273761333	"rest"	"min"
240	32617.0404549333	"rest"	"max"
240	30625.8839155333	"rest"	"mean"
240	25839.5341672857	"preg"	"min"
240	29433.1117667095	"preg"	"max"
240	27636.3229669976	"preg"	"mean"
240	25839.5341672857	"lact"	"min"
240	29433.1117667095	"lact"	"max"
240	27636.3229669976	"lact"	"mean"
250	28209.1309957521	"rest"	"min"
250	32132.2551739693	"rest"	"max"
250	30170.6930848607	"rest"	"mean"
250	25455.4825900565	"preg"	"min"
250	28995.6490429783	"preg"	"max"
250	27225.5658165174	"preg"	"mean"
250	25455.4825900565	"lact"	"min"
250	28995.6490429783	"lact"	"max"
250	27225.5658165174	"lact"	"mean"
260	27796.000565889	"rest"	"min"
260	31661.669518761	"rest"	"max"
260	29728.835042325	"rest"	"mean"
260	25082.6800933618	"preg"	"min"
260	28570.9998414452	"preg"	"max"
260	26826.8399674035	"preg"	"mean"
260	25082.6800933618	"lact"	"min"
260	28570.9998414452	"lact"	"max"
260	26826.8399674035	"lact"	"mean"
270	27394.7962902553	"rest"	"min"
270	31204.6686220127	"rest"	"max"
270	29299.732456134	"rest"	"mean"
270	24720.6395733973	"preg"	"min"
270	28158.609315393	"preg"	"max"
270	26439.6244443951	"preg"	"mean"
270	24720.6395733973	"lact"	"min"
270	28158.609315393	"lact"	"max"
270	26439.6244443951	"lact"	"mean"
280	27005.009094555	"rest"	"min"
280	30760.6726110163	"rest"	"max"
280	28882.8408527856	"rest"	"mean"
280	24368.9016494084	"preg"	"min"
280	27757.9541966772	"preg"	"max"
280	26063.4279230428	"preg"	"mean"
280	24368.9016494084	"lact"	"min"
280	27757.9541966772	"lact"	"max"
280	26063.4279230428	"lact"	"mean"
290	26626.1584715054	"rest"	"min"
290	30329.1341529731	"rest"	"max"
290	28477.6463122392	"rest"	"mean"
290	24027.0327190708	"preg"	"min"
290	27368.5405806635	"preg"	"max"
290	25697.7866498672	"preg"	"mean"
290	24027.0327190708	"lact"	"min"
290	27368.5405806635	"lact"	"max"
290	25697.7866498672	"lact"	"mean"
300	26257.7905047406	"rest"	"min"
300	29909.5362040754	"rest"	"max"
300	28083.663354408	"rest"	"mean"
300	23694.6231752913	"preg"	"min"
300	26989.9018950338	"preg"	"max"
300	25342.2625351625	"preg"	"mean"
300	23694.6231752913	"lact"	"min"
300	26989.9018950338	"lact"	"max"
300	25342.2625351625	"lact"	"mean"
310	25899.4760545099	"rest"	"min"
310	29501.3899428854	"rest"	"max"
310	27700.4329986976	"rest"	"mean"
310	23371.28576901	"preg"	"min"
310	26621.5970348988	"preg"	"max"
310	24996.4414019544	"preg"	"mean"
310	23371.28576901	"lact"	"min"
310	26621.5970348988	"lact"	"max"
310	24996.4414019544	"lact"	"mean"
320	25550.8090899245	"rest"	"min"
320	29104.2328706425	"rest"	"max"
320	27327.5209802835	"rest"	"mean"
320	23056.6541042463	"preg"	"min"
320	26263.2086485455	"preg"	"max"
320	24659.9313763959	"preg"	"mean"
320	23056.6541042463	"lact"	"min"
320	26263.2086485455	"lact"	"max"
320	24659.9313763959	"lact"	"mean"
330	25211.4051541259	"rest"	"min"
330	28717.6270629779	"rest"	"max"
330	26964.5161085519	"rest"	"mean"
330	22750.3812530898	"preg"	"min"
330	25914.3415598109	"preg"	"max"
330	24332.3614064503	"preg"	"mean"
330	22750.3812530898	"lact"	"min"
330	25914.3415598109	"lact"	"max"
330	24332.3614064503	"lact"	"mean"
340	24880.899950178	"rest"	"min"
340	28341.1575591431	"rest"	"max"
340	26611.0287546606	"rest"	"mean"
340	22452.1384796316	"preg"	"min"
340	25574.6213145472	"preg"	"max"
340	24013.3798970894	"preg"	"mean"
340	22452.1384796316	"lact"	"min"
340	25574.6213145472	"lact"	"max"
340	24013.3798970894	"lact"	"mean"
350	24558.9480367479	"rest"	"min"
350	27974.4308762956	"rest"	"max"
350	26266.6894565217	"rest"	"mean"
350	22161.614062967	"preg"	"min"
350	25243.6928399359	"preg"	"max"
350	23702.6534514514	"preg"	"mean"
350	22161.614062967	"lact"	"min"
350	25243.6928399359	"lact"	"max"
350	23702.6534514514	"lact"	"mean"
360	24245.2216237589	"rest"	"min"
